Genus,Species, Number of Instances ,SWDI, Area Size (sq. .) ,Neighborhood,Latitude,Longitude,Median Income,Ecoregion,Native vs Non Native
Paspalum,vaginatum," 5,000.00 ",0.941880896, 282.00 ,Central East Austin,30.266396,94929.00,-97.721521,1,1
Calyptocarpus,vialis," 1,150.00 ",0.941880896, 282.00 ,Central East Austin,30.266396,94929.00,-97.721521,0,1
Artemisia,ludoviciana, 10.00 ,0.941880896, 282.00 ,Central East Austin,30.266396,94929.00,-97.721521,0,1
Hymenoxys,odorata, 51.00 ,0.941880896, 282.00 ,Central East Austin,30.266396,94929.00,-97.721521,1,1
Boerhavia,diffusa, 34.00 ,0.941880896, 282.00 ,Central East Austin,30.266396,94929.00,-97.721521,1,1
Stellaria,media, 500.00 ,0.941880896, 282.00 ,Central East Austin,30.266396,94929.00,-97.721521,0,1
Portulaca,oleracea, 1.00 ,0.941880896, 282.00 ,Central East Austin,30.266396,94929.00,-97.721521,1,1
Gutierrezia,sarothrae, 13.00 ,0.941880896, 282.00 ,Central East Austin,30.266396,94929.00,-97.721521,1,1
Cynodon,dactylon, 180.00 ,0.941880896, 282.00 ,Central East Austin,30.266396,94929.00,-97.721521,0,1
Sida,Schimperiana, 19.00 ,0.941880896, 282.00 ,Central East Austin,30.266396,94929.00,-97.721521,0,1
Platanus,occidentalis, 1.00 ,0.941880896, 282.00 ,Central East Austin,30.266396,94929.00,-97.721521,1,1
Oxalis,x, 14.00 ,0.941880896, 282.00 ,Central East Austin,30.266396,94929.00,-97.721521,0,1
Axonopus,x, 243.00 ,0.762903181, 282.00 ,Mueller,30.296353,84531.00,-97.702744,1,1
Cynodon,dactylon," 6,000.00 ",0.762903181, 282.00 ,Mueller,30.296353,84531.00,-97.702744,0,1
Ulmus,crassifolia, 12.00 ,0.762903181, 282.00 ,Mueller,30.296353,84531.00,-97.702744,1,1
Stellaria,media, 780.00 ,0.762903181, 282.00 ,Mueller,30.296353,84531.00,-97.702744,0,1
Gutierrezia,sarothrae, 70.00 ,0.762903181, 282.00 ,Mueller,30.296353,84531.00,-97.702744,1,1
Dichondra,carolinensis, 500.00 ,0.762903181, 282.00 ,Mueller,30.296353,84531.00,-97.702744,1,1
Cocculus,carolinus, 1.00 ,0.246635659, 300.00 ,North Loop, 30.315940,103068.00,-97.723324,1,0
Ipomoea,cordatotriloba, 4.00 ,0.246635659, 300.00 ,North Loop, 30.315940,103068.00,-97.723324,1,0
Vitis,mustangensis, 12.00 ,0.246635659, 300.00 ,North Loop, 30.315940,103068.00,-97.723324,1,0
Ambrosia,trifida, 2.00 ,0.246635659, 300.00 ,North Loop, 30.315940,103068.00,-97.723324,1,0
Rottboellia,cochinchinensis, 4.00 ,0.246635659, 300.00 ,North Loop, 30.315940,103068.00,-97.723324,0,0
Calyptocarpus,vialis, 50.00 ,0.246635659, 300.00 ,North Loop, 30.315940,103068.00,-97.723324,0,0
Parthenium,hysterophorus, 70.00 ,0.246635659, 300.00 ,North Loop, 30.315940,103068.00,-97.723324,1,0
Ruellia,simplex, 2.00 ,0.246635659, 300.00 ,North Loop, 30.315940,103068.00,-97.723324,0,0
Amaranthus,palmeri, 200.00 ,0.246635659, 300.00 ,North Loop, 30.315940,103068.00,-97.723324,1,0
Cynodon,dactylon," 7,000.00 ",0.246635659, 300.00 ,North Loop, 30.315940,103068.00,-97.723324,0,0
Calyptocarpus,vialii," 1,700.00 ",1.209672374, 300.00 ,Scofield Farms,30.412641,79807.00,-97.684078,0,0
Cynodon,dactylon," 5,500.00 ",1.209672374, 300.00 ,Scofield Farms,30.412641,79807.00,-97.684078,0,0
Dichondra,x, 200.00 ,1.209672374, 300.00 ,Scofield Farms,30.412641,79807.00,-97.684078,0,0
Lagerstroemia,x, 4.00 ,1.209672374, 300.00 ,Scofield Farms,30.412641,79807.00,-97.684078,0,0
Prosopis,x, 20.00 ,1.209672374, 300.00 ,Scofield Farms,30.412641,79807.00,-97.684078,0,0
Quercus,virginiana, 15.00 ,1.209672374, 300.00 ,Scofield Farms,30.412641,79807.00,-97.684078,1,0
Stellaria,media," 5,000.00 ",1.209672374, 300.00 ,Scofield Farms,30.412641,79807.00,-97.684078,0,0
Taraxacum,officinale, 1.00 ,1.209672374, 300.00 ,Scofield Farms,30.412641,79807.00,-97.684078,0,0
Trachelospermum,x, 500.00 ,1.209672374, 300.00 ,Scofield Farms,30.412641,79807.00,-97.684078,0,0
Ulmus,crassifolia, 1.00 ,1.209672374, 300.00 ,Scofield Farms,30.412641,79807.00,-97.684078,1,0
Cynodon ,dactyylon," 50,000.00 ",0, 300.00 ,Windsor Hills,30.386591,57969.00,-97.652525,0,0
Celtis,tenuifolia, 7.00 ,0.229419459, 291.00 ,Saint John,30.33909,36957.00,-97.713976,1,0
Cynodon,dactylon," 5,000.00 ",0.229419459, 291.00 ,Saint John,30.33909,36957.00,-97.713976,0,0
Hibiscus,syriacus, 1.00 ,0.229419459, 291.00 ,Saint John,30.33909,36957.00,-97.713976,0,0
Justicia,spicigera, 3.00 ,0.229419459, 291.00 ,Saint John,30.33909,36957.00,-97.713976,0,0
Ligustrum,lucidum, 2.00 ,0.229419459, 291.00 ,Saint John,30.33909,36957.00,-97.713976,0,0
Mirabilis,jalapa, 10.00 ,0.229419459, 291.00 ,Saint John,30.33909,36957.00,-97.713976,0,0
Pavonia,hastata, 6.00 ,0.229419459, 291.00 ,Saint John,30.33909,36957.00,-97.713976,0,0
Prosopis,affinis, 200.00 ,0.229419459, 291.00 ,Saint John,30.33909,36957.00,-97.713976,0,0
Tradescantia,pallida, 20.00 ,0.229419459, 291.00 ,Saint John,30.33909,36957.00,-97.713976,1,0
Cynodon ,dactylon," 40,000.00 ",0.002322963, 300.00 ,Sunset Valley,30.211945,46014.00,-97.808903,0,0
Quercus ,virginiana, 10.00 ,0.002322963, 300.00 ,Sunset Valley,30.211945,46014.00,-97.808903,1,0
Agave,decipiens, 3.00 ,0.180234475, 285.00 ,Westgate,30.206212,58750.00,-97.817326,0,0
Crataegus,mollis, 3.00 ,0.180234475, 285.00 ,Westgate,30.206212,58750.00,-97.817326,1,0
Malvastrum,coromandelianum, 500.00 ,0.180234475, 285.00 ,Westgate,30.206212,58750.00,-97.817326,0,0
Platanus,occidentalis, 5.00 ,0.180234475, 285.00 ,Westgate,30.206212,58750.00,-97.817326,1,0
Trema,micrantha, 5.00 ,0.180234475, 285.00 ,Westgate,30.206212,58750.00,-97.817326,0,0
Celtis,laevigata, 50.00 ,0.781146977, 276.00 ,Barton Hills,30.255883,122857.00,-97.783785,1,0
Handroanthus,impetiginosus, 1.00 ,0.781146977, 276.00 ,Barton Hills,30.255883,122857.00,-97.783785,0,0
Nandina,domestica, 10.00 ,0.781146977, 276.00 ,Barton Hills,30.255883,122857.00,-97.783785,0,0
Nassella,trichotoma, 6.00 ,0.781146977, 276.00 ,Barton Hills,30.255883,122857.00,-97.783785,0,0
Cynodon ,dactylon," 65,000.00 ",0.092668934, 270.00 ,Travis Heights,30.24551,77105.00,-97.743649,0,0
Celtis,laevigata, 10.00 ,0.092668934, 270.00 ,Travis Heights,30.24551,77105.00,-97.743649,1,0
Malvastrum,coromandelianum," 1,000.00 ",0.092668934, 270.00 ,Travis Heights,30.24551,77105.00,-97.743649,0,0
Quercus  ,virginiana, 10.00 ,0.092668934, 270.00 ,Travis Heights,30.24551,77105.00,-97.743649,1,0
Tradescantia,pallida, 100.00 ,0.092668934, 270.00 ,Travis Heights,30.24551,77105.00,-97.743649,1,0
Celtis,laevigata, 10.00 ,1.368922361, 285.00 ,Zilker,30.261132,42665.00,-97.770737,1,0
Quercus  ,buckleyi, 10.00 ,1.368922361, 285.00 ,Zilker,30.261132,42665.00,-97.770737,1,0
